TIMESTAMP,II,,,,
386,-0.128661559,,,,-571
387,-0.161784588,,,,-718
388,-0.231410545,,,,-1027
389,-0.295628662,,,,-1312
390,-0.257097792,,,,-1141
391,-0.046191978,,,,-205
392,0.295628662,,,,1312
393,0.644209103,,,,2859
394,0.887111311,,,,3937
395,0.977467328,,,,4338
396,0.912798558,,,,4051
397,0.713159081,,,,3165
398,0.424290221,,,,1883
399,0.122803064,,,,545
400,-0.115817936,,,,-514
401,-0.255745831,,,,-1135
402,-0.308472285,,,,-1369
403,-0.302388463,,,,-1342
404,-0.257097792,,,,-1141
405,-0.188147814,,,,-835
406,-0.128661559,,,,-571
407,-0.123253718,,,,-547
408,-0.180036052,,,,-799
409,-0.238395674,,,,-1058
410,-0.231410545,,,,-1027
411,-0.173276251,,,,-769
412,-0.141505183,,,,-628
413,-0.159305994,,,,-707
414,-0.167192429,,,,-742
415,-0.134970708,,,,-599
416,-0.115817936,,,,-514
417,-0.153222172,,,,-680
418,-0.192879676,,,,-856
419,-0.171698963,,,,-762
420,-0.115817936,,,,-514
421,-0.089905363,,,,-399
422,-0.089905363,,,,-399
423,-0.06466877,,,,-287
424,-0.012843623,,,,-57
425,0.019603425,,,,87
426,0.012843623,,,,57
427,-0.008337089,,,,-37
428,-0.025687247,,,,-114
429,-0.047093285,,,,-209
430,-0.07706174,,,,-342
431,-0.095313204,,,,-423
432,-0.07706174,,,,-342
433,-0.020279405,,,,-90
434,0.03853087,,,,171
435,0.045966652,,,,204
436,-0.012843623,,,,-57
437,-0.075709779,,,,-336
438,-0.064218116,,,,-285
439,0.01374493,,,,61
440,0.064218116,,,,285
441,0.031095088,,,,138
442,-0.03853087,,,,-171
443,-0.069625958,,,,-309
444,-0.051374493,,,,-228
445,-0.010590356,,,,-47
446,0.03853087,,,,171
447,0.071653898,,,,318
448,0.03853087,,,,171
449,-0.063316809,,,,-281
450,-0.154348806,,,,-685
451,-0.163587201,,,,-726
452,-0.115817936,,,,-514
453,-0.070301938,,,,-312
454,-0.03853087,,,,-171
455,-0.011266336,,,,-50
456,-0.012843623,,,,-57
457,-0.060387562,,,,-268
458,-0.115817936,,,,-514
459,-0.134970708,,,,-599
460,-0.128661559,,,,-571
461,-0.124380352,,,,-552
462,-0.115817936,,,,-514
463,-0.09215863,,,,-409
464,-0.07706174,,,,-342
465,-0.089229383,,,,-396
466,-0.102748986,,,,-456
467,-0.087652096,,,,-389
468,-0.064218116,,,,-285
469,-0.077512393,,,,-344
470,-0.128661559,,,,-571
471,-0.170797657,,,,-758
472,-0.167192429,,,,-742
473,-0.128661559,,,,-571
474,-0.089905363,,,,-399
475,-0.060162235,,,,-267
476,-0.025687247,,,,-114
477,0.007435782,,,,33
478,0.012843623,,,,57
479,-0.003154574,,,,-14
480,0,,,,0
481,0.029292474,,,,130
482,0.03853087,,,,171
483,0.013294277,,,,59
484,0,,,,0
485,0.023659306,,,,105
486,0.03853087,,,,171
487,0.023884633,,,,106
488,0.03853087,,,,171
489,0.12032447,,,,534
490,0.192879676,,,,856
491,0.154799459,,,,687
492,0.025687247,,,,114
493,-0.088328076,,,,-392
494,-0.128661559,,,,-571
495,-0.1306895,,,,-580
496,-0.141505183,,,,-628
497,-0.154799459,,,,-687
498,-0.141505183,,,,-628
499,-0.103199639,,,,-458
500,-0.07706174,,,,-342
,,,,0,
,,,,0,
,,,,0,
